tournament_id,user_id,placement,tournament_rating,organizer_rating
1,31,,3,2
2,31,,3,1
3,31,,3,4
4,31,,2,3
5,31,,1,4
6,31,,3,4
7,31,,1,3
8,31,,1,3
9,31,,5,2
10,31,,2,2
11,32,,5,2
12,32,,2,4
13,32,,5,2
14,32,,5,2
15,32,,4,1
16,32,,2,5
17,32,,4,3
18,32,,2,4
19,32,,4,1
20,32,,5,5
5,33,,5,5
6,33,,1,1
7,33,,4,4
8,33,,1,3
9,33,,1,2
10,33,,3,4
11,33,,2,1
12,33,,1,2
13,33,,4,3
14,33,,4,1
15,33,,2,4
16,33,,4,3
17,33,,1,2
10,34,,5,2
11,34,,4,5
12,34,,5,3
13,34,,3,1
14,34,,4,5
15,34,,4,1
16,34,,5,4
17,34,,4,2
18,34,,5,2
19,34,,3,4
20,36,,3,2
21,36,,2,4
22,36,,4,2
23,36,,3,2
1,36,,5,1
2,36,,1,2
3,36,,3,2
4,36,,4,4
5,36,,1,3
6,36,,3,4
7,38,,4,1
8,38,,5,2
9,38,,2,1
10,38,,3,1
11,38,,3,4
12,38,,2,3
13,38,,4,3
14,38,,2,1
15,41,,1,5
16,42,,4,4
17,55,,2,1
18,66,,3,3
19,77,,4,3
20,77,,1,2
21,77,,5,2
22,77,,5,5
23,77,,4,1
24,77,,3,5
1,11,,5,5
2,11,,5,5
3,11,,5,5
4,12,,5,5
5,12,,5,5
6,12,,5,5
